_117_coupe_68,38900,1968,10
_147_20_twinspark_02,30590,2002,25
_300zx_2seat_us_98,39900,1998,53
_500_f_65,20770,1965,33
alpine_a110_16s_73,60200,1973,39
altoworks_sport_ltd_97,11150,1997,63
camaro_z28_302_69,65000,1969,1
camaro_z28_coupe_97,24110,1997,27
celica_ss2_97,21360,1997,65
chevelle_ss_454_ls6_70,70000,1970,4
civic_sir2_93,16380,1993,421
clio_renaultsport_20_02,29700,2002,59
corvette_gs_96,45900,1996,28
corvette_l46_350_69,71500,1969,3
crossfire_04,35670,2004,29
cuda_440_6_71,58360,1971,15
dodge_viper_gtsr_oreca_00,1000000,2000,40
elise2000_00,41060,2000,44
focus_rs_02,41410,2002,423
ford_gt_concept_gulf_02,1000000,2002,41
fto_gpr_97,21600,1997,50
giulia_sprint_gta_65,113010,1965,7
golf_gti_01,31800,2001,69
gtr_concept_lm_01,1500000,2002,72
impreza_wrc_03,750000,2003,62
impreza_wrx_pro_01,31450,2001,61
impreza_wrx_sti_02,28950,2002,18
ka_01,12920,2001,444
lancer_evo7_gsr_01,29980,2001,48
lancer_evo8_gsr_03,32980,2003,23
levin_gt_apex_83,15360,1983,20
mini_cooper_s_02,26790,2002,70
mira_tr_xx_avar_97,11140,1997,31
nsx_r_proto_lm_01,1500000,2002,43
nsx_s_zero_97,98570,1997,42
pontiac_gto_389_348_64,52600,1964,16
pontiac_vibe_gt_03,21120,2003,17
prelude_s_96,26530,1996,9
rx8_lm_01,550000,2001,47
rx8_tmv_01,0,2001,45
s13_ks_88,18860,1988,55
ssr_03,44560,2003,6
storia_x4_98,13900,2000,32
sunfire_gxp_02,0,2002,38
supra_rz_97,43900,1997,67
will_vs_01,20500,2001,68
_147_gta_02,48040,2002,73
prius_g_touring_03,25700,2003,74
prius_g_02,22800,2002,79
crx_15i_83,12700,1983,80
city_turbo2_83,12380,1983,81
piazza_xe_81,24650,1981,83
delta_s4_wrc_85,1250000,1985,84
eclipse_gt_95,21420,1995,101
_240rs_gpb_rally_85,150000,1985,87
r31_skyline_gtsr_87,34000,1987,91
sileighty_xx,22880,1998,927
_205_t16_wrc_ev2_86,1250000,1986,14
_5_maxi_turbo_rally_85,1250000,1985,171
celica_xx_2800gt_81,23230,1981,94
celica_2000gt_r_86,20770,1986,95
mr2_1600_glim_sc_86,21000,1986,97
celica_gt_four_rc_91,31710,1991,96
levin_bzr_98,18900,1998,98
trueno_bzr_98,18900,1998,99
panoz_esperante_race_98,4500000,1998,362
r390_race_98,4500000,1998,92
legacy_wgn_20gt_b_03,30300,2003,125
legacy_sdn_20gt_b_03,28800,2003,124
impreza_wrc_99,750000,1999,123
legacy_gtb_96,29330,1996,112
legacy_b4_rsk_98,25880,1998,114
legacy_b4_blitzen_00,30000,2000,113
legacy_wgn_30r_03,30000,2003,127
legacy_b4_30r_03,28500,2003,126
_1300_coupe_9s_70,12800,1970,137
insight_mt_99,21000,1999,140
n360_67,36000,1967,141
odyssey_l_4wd_03,28650,2003,148
prelude_sir_96,21830,1996,142
s800_66,58000,1966,143
today_g_85,6700,1985,144
beat_91,13800,1991,139
takata_dome_nsx_03,1350000,2003,115
raybrig_nsx_00,1350000,2000,117
castrol_nsx_00,1350000,2000,116
arta_nsx_00,1350000,2000,118
loctite_nsx_01,1350000,2001,119
mobil_nsx_01,1350000,2001,120
arta_garaiya_03,500000,2003,103
copen_activetop_02,14980,2002,131
midget2_d_type_98,5740,1998,132
spoon_fit_03,50000,2003,175
kusabi_concept_03,0,2003,152
lancer_1600gsr_73,14200,1973,156
lancer_evo_gsr_92,27380,1992,157
eclipse_spyder_gts_03,26780,2003,188
hsr2_concept_89,0,1989,160
i_concept_03,0,2003,161
bluebird_1600dx_67,25700,1969,164
cube_ex_2wd_02,14420,2002,165
march_g_2wd_3dr_99,13080,1999,166
xanavi_nismo_gtr_03,1350000,2003,169
cusco_impreza_03,500000,2003,128
concept_s2_03,0,2003,177
celica_1600gt_70,23900,1970,180
woodone_supra_03,1350000,2003,182
a112_abarth_79,39430,1979,129
c5_v6_exclusive_03,42830,2003,130
panda_super_ie_90,14600,1990,135
_5_turbo_80,74500,1980,172
cerbera_speed6_97,79880,1997,184
lupo_gti_cup_03,50000,2003,186
_1100_standard_type11_49,40000,1949,187
impreza_wrx_sti1_94,27780,1994,121
au_supra_01,1350000,2001,194
pennzoil_gtr_01,1350000,2001,189
mrs_autobacs_00,500000,2000,195
razo_silvia_01,500000,2001,190
_350z_03,33000,2003,917
tuscan_speed6_00,94050,2000,196
r_gt_00,143250,2000,193
beetle_cup_00,50000,2000,198
lupo_cup_00,50000,2000,199
mm_r_tmv_01,50000,2001,191
trial_celica_ss2_03,100000,2003,183
murao_rx7_03,200000,2003,163
vitz_rs15_00,14530,2000,110
colt_15_sportx_02,14950,2002,162
demio_sport_03,14500,2003,153
fit_w_ff_01,12600,2001,145
integra_r_98,23580,1998,146
civic_r_98,19980,1998,105
rx7_spiritr_a_02,39980,2002,106
rx8_types_03,27500,2003,203
mr2_gts_97,27130,1997,111
sl55_amg_02,168120,2002,155
r34_gtr_v2_nur_02,61000,2002,200
lancer_evo5_gsr_98,32480,1998,158
ford_gt_concept_dmv_02,0,2002,136
spoon_civic_00,75000,2000,107
spoon_s2000_race_00,200000,2000,176
nismo_fairlady_z_ztune_03,150000,2003,202
mclaren_f1_gtr_long_97,3500000,1997,204
focus_wrc_99,750000,1999,104
mtr_gmv_04,0,2004,201
trd_celica_sportm_00,25500,2000,207
lancer_evo4_wrc_97,750000,1997,208
castrol_supra_00,1350000,2000,213
castrol_supra_01,1350000,2001,215
denso_supra_00,1350000,2000,214
rsc_tmv_lm_01,1250000,2002,217
vitz_euro_00,12880,2000,211
mines_evo6_00,150000,2000,218
mines_r34_00,200000,2000,219
_350z_roadster_03,36000,2003,893
_240zg_71,55000,1971,260
_120i_04,31940,2004,270
pescarolo_c60_lmp1_04,4500000,2004,269
