RowId,Label,ModelCode,VarOrder,ColorPatchFileName,Name,ModelWidth,ModelHeight,ModelFront,ModelRear,ModelProjection,ColorChip0,ColorChip1,ColorChip2,ColorChip3
1,chev0001_0,chev0001,4,chev0001,Garnet Red,1179.9421,1901.7638,2306.7605,2404.8154,1.9423828,17631079,0,0,0
1,chev0001_0,chev0001,3,chev0001,Hugger Orange,1179.9421,1901.7638,2306.7605,2404.8154,1.9423828,17577610,0,0,0
1,chev0001_0,chev0001,6,chev0001,Tuxedo Black,1179.9421,1901.7638,2306.7605,2404.8154,1.9423828,17698318,0,0,0
1,chev0001_0,chev0001,5,chev0001,Burgundy Metallic,1179.9421,1901.7638,2306.7605,2404.8154,1.9423828,50989593,0,0,0
1,chev0001_0,chev0001,2,chev0001,Butternut Yellow,1179.9421,1901.7638,2306.7605,2404.8154,1.9423828,56594074,0,0,0
1,chev0001_0,chev0001,17,chev0001,Cortez Silver Metallic,1179.9421,1901.7638,2306.7605,2404.8154,1.9423828,59411082,0,0,0
1,chev0001_0,chev0001,18,chev0001,Dover White,1179.9421,1901.7638,2306.7605,2404.8154,1.9423828,26713245,0,0,0
1,chev0001_0,chev0001,1,chev0001,Daytona Yellow,1179.9421,1901.7638,2306.7605,2404.8154,1.9423828,17472952,0,0,0
1,chev0001_0,chev0001,16,chev0001,Champagne Gold Metallic,1179.9421,1901.7638,2306.7605,2404.8154,1.9423828,56655236,0,0,0
1,chev0001_0,chev0001,15,chev0001,Olympic Gold Metallic,1179.9421,1901.7638,2306.7605,2404.8154,1.9423828,54680419,0,0,0
1,chev0001_0,chev0001,12,chev0001,Fathom Blue Metallic,1179.9421,1901.7638,2306.7605,2404.8154,1.9423828,54531859,0,0,0
1,chev0001_0,chev0001,13,chev0001,Forest Green Metallic,1179.9421,1901.7638,2306.7605,2404.8154,1.9423828,50536963,0,0,0
1,chev0001_0,chev0001,14,chev0001,Burnished Brown Metallic,1179.9421,1901.7638,2306.7605,2404.8154,1.9423828,51582489,0,0,0
1,chev0001_0,chev0001,11,chev0001,Rallye Green Metallic,1179.9421,1901.7638,2306.7605,2404.8154,1.9423828,51920144,0,0,0
1,chev0001_0,chev0001,8,chev0001,LeMans Blue Metallic,1179.9421,1901.7638,2306.7605,2404.8154,1.9423828,55454724,0,0,0
1,chev0001_0,chev0001,7,chev0001,Dusk Blue Metallic,1179.9421,1901.7638,2306.7605,2404.8154,1.9423828,53022222,0,0,0
1,chev0001_0,chev0001,10,chev0001,Azure Turquoise Metallic,1179.9421,1901.7638,2306.7605,2404.8154,1.9423828,55988011,0,0,0
1,chev0001_0,chev0001,9,chev0001,Glacier Blue Metallic,1179.9421,1901.7638,2306.7605,2404.8154,1.9423828,56840768,0,0,0
3,chev0002_0,chev0002,4,chev0002,Daytona Yellow,1377.425,1767.3635,2256.7644,2350.8152,1.7495728,17472952,0,0,0
3,chev0002_0,chev0002,3,chev0002,Riverside Gold Metallic,1377.425,1767.3635,2256.7644,2350.8152,1.7495728,52064136,0,0,0
3,chev0002_0,chev0002,2,chev0002,Fathom Green Metallic,1377.425,1767.3635,2256.7644,2350.8152,1.7495728,51649557,0,0,0
